,name,year,fuel_type,automaker,miles_driven,price
46,Honda City,2015,Petrol,Honda,34175,5952
47,Datsun Redi GO,2017,Petrol,Datsun,9942,2797
48,Maruti Suzuki SX4,2010,Petrol,Maruti,22369,2976
49,Mitsubishi Pajero Sport,2015,Diesel,Mitsubishi,29204,17559
50,Mahindra Bolero DI,2017,Diesel,Mahindra,14572,2142
51,Maruti Suzuki Swift,2014,Diesel,Maruti,22072,4583
52,Mahindra Scorpio S10,2015,Diesel,Mahindra,30141,2976
53,Maruti Suzuki Swift,2017,Petrol,Maruti,9623,2142
54,Maruti Suzuki Wagon,2013,Petrol,Maruti,24233,1250
55,Maruti Suzuki Wagon,2013,Petrol,Maruti,24233,1250
56,Mahindra Scorpio S10,2015,Diesel,Mahindra,21748,4702
57,Maruti Suzuki Swift,2017,Petrol,Maruti,19184,2619
58,Honda City ZX,2017,Diesel,Honda,9321,2023
59,Maruti Suzuki Wagon,2013,Petrol,Maruti,18445,1011
60,Ford Figo,2012,Diesel,Ford,25476,2083
61,Hyundai Eon,2013,Petrol,Hyundai,15534,2261
62,Tata Indigo eCS,2017,Diesel,Tata,80778,2380
63,Ford EcoSport Ambiente,2016,Diesel,Ford,15242,9880
64,Tata Indigo eCS,2017,Diesel,Tata,80778,2380
65,Mahindra Scorpio SLE,2012,Diesel,Mahindra,11806,6785
66,Volkswagen Polo Highline,2014,Petrol,Volkswagen,37282,3750
67,Skoda Fabia Classic,2010,Petrol,Skoda,37282,2166
68,Maruti Suzuki Stingray,2015,Petrol,Maruti,18641,3750
70,Chevrolet Spark LS,2010,Petrol,Chevrolet,25476,1309
71,Renault Duster 110PS,2012,Diesel,Renault,21748,5964
72,Honda City,2015,Petrol,Honda,33554,5345
73,Mini Cooper S,2013,Petrol,Mini,8078,22513
74,Datsun Redi GO,2017,Petrol,Datsun,9942,2797
75,Skoda Fabia 1.2L,2011,Diesel,Skoda,23736,1898
76,Honda Amaze,2015,Petrol,Honda,13670,4107
77,Honda Amaze,2015,Petrol,Honda,13670,4107
78,Renault Duster,2014,Diesel,Renault,31069,5357
79,Mini Cooper S,2013,Petrol,Mini,8389,22513
80,Mahindra Scorpio S4,2015,Diesel,Mahindra,18641,10297
81,Mahindra Scorpio VLX,2014,Diesel,Mahindra,31069,8321
82,Mahindra Quanto C8,2013,Diesel,Mahindra,12427,4464
83,Ford EcoSport,2017,Petrol,Ford,24233,5833
84,Honda Brio,2012,Petrol,Honda,18641,2678
86,Volkswagen Vento Highline,2019,Diesel,Volkswagen,2237,14285
87,Hyundai i20 Magna,2009,Petrol,Hyundai,19884,2321
88,Toyota Corolla Altis,2010,Diesel,Toyota,23612,4178
89,Hyundai Verna Transform,2008,Petrol,Hyundai,27962,1904
90,Toyota Corolla Altis,2009,Petrol,Toyota,21748,2857
91,Honda City 1.5,2005,Petrol,Honda,31069,1071
92,Hyundai Elite i20,2014,Petrol,Hyundai,19884,4940
93,Skoda Fabia 1.2L,2011,Diesel,Skoda,28498,1845
94,BMW 3 Series,2011,Petrol,BMW,37593,7142
95,Maruti Suzuki A,2011,Petrol,Maruti,7767,2255
96,Toyota Etios GD,2013,Diesel,Toyota,37282,4166
97,Ford Figo Diesel,2012,Diesel,Ford,21748,2500
98,Maruti Suzuki Swift,2014,Petrol,Maruti,21748,4642
99,Chevrolet Beat LT,2012,Diesel,Chevrolet,27962,1607
100,BMW 7 Series,2009,Petrol,BMW,21748,19047
101,Mahindra XUV500 W8,2013,Diesel,Mahindra,23612,8345
102,Hyundai i10 Magna,2014,Petrol,Hyundai,11185,3154
103,Hyundai Verna Fluidic,2015,Diesel,Hyundai,21748,6250
104,Maruti Suzuki Swift,2013,Petrol,Maruti,8295,4428
105,Maruti Suzuki Ertiga,2016,Petrol,Maruti,18020,7559
106,Ford EcoSport Titanium,2014,Diesel,Ford,27340,6547
107,Maruti Suzuki Ertiga,2016,Petrol,Maruti,18020,6845
108,Maruti Suzuki Ertiga,2013,Diesel,Maruti,26098,5773
109,Maruti Suzuki Alto,2012,Petrol,Maruti,8699,1845
110,Hyundai Grand i10,2014,Diesel,Hyundai,30447,4107
111,Honda Amaze 1.2,2014,Petrol,Honda,26098,3869
112,Hyundai i20 Asta,2012,Diesel,Hyundai,22494,3922
113,Ford Figo Diesel,2014,Diesel,Ford,31069,2321
114,Maruti Suzuki Eeco,2015,Petrol,Maruti,34175,2989
115,Maruti Suzuki Ertiga,2014,Petrol,Maruti,27962,6785
116,Maruti Suzuki Esteem,2007,Petrol,Maruti,31690,833
117,Maruti Suzuki Ritz,2014,Petrol,Maruti,11806,3571
118,Maruti Suzuki Dzire,2009,Petrol,Maruti,28583,2619
119,Maruti Suzuki Ritz,2013,Diesel,Maruti,20505,4761
120,Maruti Suzuki Swift,2013,Petrol,Maruti,8295,4428
121,Maruti Suzuki Dzire,2015,Diesel,Maruti,64623,5357
122,Toyota Etios Liva,2014,Petrol,Toyota,34175,3214
123,Hyundai i20 Sportz,2011,Diesel,Hyundai,20712,4166
124,Chevrolet Spark,2012,Petrol,Chevrolet,20878,1885
125,Maruti Suzuki Alto,2017,Petrol,Maruti,3480,4166
126,Nissan Micra XV,2011,Petrol,Nissan,25476,2130
127,Maruti Suzuki Swift,2007,Petrol,Maruti,43496,1488
128,Maruti Suzuki Alto,2018,Petrol,Maruti,4660,2380
129,Honda Amaze 1.5,2013,Diesel,Honda,27962,3559
130,Maruti Suzuki Alto,2015,Petrol,Maruti,23612,2619
131,Chevrolet Beat,2015,Petrol,Chevrolet,18641,1785
132,Toyota Corolla,2009,,Toyota,16156,3273
133,Honda City 1.5,2010,Petrol,Honda,21748,3392
134,Ford EcoSport Trend,2016,Diesel,Ford,15118,9880
135,Hyundai i20 Asta,2009,Petrol,Hyundai,40687,2500
136,Maruti Suzuki Swift,2013,Petrol,Maruti,25476,4047
137,Tata Indica V2,2006,Petrol,Tata,12427,1071
138,Maruti Suzuki Alto,2018,Petrol,Maruti,17416,0
139,Hindustan Motors Ambassador,2000,Diesel,Hindustan,124274,833
140,Toyota Corolla Altis,2010,Petrol,Toyota,43496,3452
141,Toyota Corolla Altis,2012,Petrol,Toyota,36661,4166
142,Toyota Innova 2.5,2012,Diesel,Toyota,61516,10119
143,Volkswagen Jetta Highline,2014,Diesel,Volkswagen,28583,8928
144,Volkswagen Polo Comfortline,2015,Petrol,Volkswagen,1740,4761
145,Volkswagen Polo,2014,Petrol,Volkswagen,19884,3273
146,Mahindra Scorpio,2015,Diesel,Mahindra,13670,11726
147,Renault Duster,2014,Diesel,Renault,31069,5357
148,Honda Amaze,2015,Petrol,Honda,13670,4107
149,Nissan Sunny,2012,Petrol,Nissan,27962,2678
150,Hyundai Elite i20,2018,Petrol,Hyundai,13049,7142
151,Renault Kwid,2016,Petrol,Renault,6835,2916
152,Renault Duster,2013,Diesel,Renault,25476,4761
153,Ford EcoSport,2017,Petrol,Ford,24233,5833
154,Renault Duster,2014,Diesel,Renault,31069,5654
155,Mahindra Scorpio VLX,2011,Diesel,Mahindra,41010,5952
156,Maruti Suzuki Alto,2018,Petrol,Maruti,1864,3690
157,Chevrolet Spark LT,2010,Petrol,Chevrolet,27962,1011
158,Datsun Redi GO,2016,Petrol,Datsun,4350,2916
159,Maruti Suzuki Swift,2010,Diesel,Maruti,23923,2255
160,Fiat Punto Emotion,2012,Diesel,Fiat,23115,2017
161,Maruti Suzuki Swift,2010,Diesel,Maruti,26843,1898
162,Toyota Etios GD,2013,Petrol,Toyota,15410,3273
163,Hyundai i20 Sportz,2014,Diesel,Hyundai,37282,4404
164,Hyundai i10 Sportz,2010,Petrol,Hyundai,28504,2000
165,Chevrolet Beat LT,2011,Diesel,Chevrolet,24855,1785
166,Chevrolet Beat LS,2011,Diesel,Chevrolet,27962,1726
167,Chevrolet Beat LT,2012,Diesel,Chevrolet,23612,1172
168,Mahindra Scorpio VLX,2014,Diesel,Mahindra,31069,8321
169,Tata Indigo CS,2011,Diesel,Tata,7084,1011
170,Toyota Corolla Altis,2015,Petrol,Toyota,26098,6845
171,Honda City 1.5,2014,Petrol,Honda,24233,6535
172,Maruti Suzuki Swift,2011,Diesel,Maruti,29204,2488
173,Hyundai Eon Era,2013,Petrol,Hyundai,16777,2202
174,Mahindra Scorpio S10,2015,Diesel,Mahindra,60397,10714
175,Mahindra XUV500,2014,Diesel,Mahindra,32311,8333
176,Honda Brio,2012,Petrol,Honda,18641,2678
177,Ford Fiesta,2011,Diesel,Ford,34175,3273
178,Honda Amaze,2013,Diesel,Honda,28583,3392
179,Honda City,2015,Diesel,Honda,18641,7142
180,Maruti Suzuki Wagon,2012,Petrol,Maruti,27340,2380
181,Honda City,2014,Diesel,Honda,27962,6488
182,Hyundai i20,2009,Petrol,Hyundai,19263,2369
183,Tata Indigo eCS,2016,Diesel,Tata,109007,3809
184,Hyundai Fluidic Verna,2015,Diesel,Hyundai,23612,6428
186,Mahindra Quanto C8,2013,Diesel,Mahindra,22991,4047
187,Fiat Petra ELX,2008,Petrol,Fiat,40389,892
188,Skoda Fabia 1.2L,2011,Diesel,Skoda,23736,1898
189,Mini Cooper S,2013,Petrol,Mini,8078,22513
190,Hyundai Santro Xing,2005,Petrol,Hyundai,4660,583
191,Maruti Suzuki Ciaz,2016,Petrol,Maruti,2082,8333
192,Maruti Suzuki Zen,2000,Petrol,Maruti,37282,654
193,Honda City,2015,Petrol,Honda,33554,5345
194,Hyundai Creta 1.6,2017,Petrol,Hyundai,19884,10654
196,Mahindra Scorpio SLX,2007,Diesel,Mahindra,46603,4226
197,Mahindra Scorpio SLE,2012,Diesel,Mahindra,38525,6726
198,Toyota Innova 2.5,2006,Diesel,Toyota,45360,4345
199,Maruti Suzuki Alto,2011,Petrol,Maruti,25476,1726
200,Maruti Suzuki Wagon,2011,Petrol,Maruti,21748,2500
201,Tata Nano Cx,2013,Petrol,Tata,1367,476
202,Maruti Suzuki Alto,2013,Petrol,Maruti,24233,1488
203,Maruti Suzuki Wagon,2009,Petrol,Maruti,27962,1607
204,Maruti Suzuki Swift,2006,Petrol,Maruti,27962,1607
205,Tata Sumo Victa,2012,Diesel,Tata,40389,3392
207,Maruti Suzuki Wagon,2010,Petrol,Maruti,34095,1726
208,Maruti Suzuki Alto,2010,Petrol,Maruti,21487,1607
209,Volkswagen Passat Diesel,2009,Diesel,Volkswagen,60273,5357
210,Renault Scala RxL,2015,Diesel,Renault,15534,4464
211,Mahindra Quanto C8,2013,Diesel,Mahindra,12427,4464
212,Hyundai Grand i10,2014,Petrol,Hyundai,12427,4345
213,Hyundai i20 Active,2015,Petrol,Hyundai,11185,5952
214,Mahindra Xylo E4,2012,Diesel,Mahindra,21748,4761
215,Mahindra Jeep MM,2019,Diesel,Mahindra,37,4642
216,Renault Duster 110PS,2012,Diesel,Renault,21748,5964
217,Mahindra Bolero SLE,2013,Diesel,Mahindra,49834,3928
218,Force Motors Force,2015,Diesel,Force,1988,6904
219,Maruti Suzuki SX4,2012,Diesel,Maruti,28583,3154
220,Mahindra Jeep CL550,2019,Diesel,Mahindra,0,4511
221,Maruti Suzuki Alto,2015,Petrol,Maruti,3107,2607
222,Mahindra Jeep CL550,2018,Diesel,Mahindra,365,4583
223,Toyota Etios,2011,Diesel,Toyota,22369,3273
224,Volkswagen Polo,2015,Diesel,Volkswagen,23612,3928
225,Honda City ZX,2008,Petrol,Honda,27962,1309
226,Maruti Suzuki Wagon,2006,Petrol,Maruti,44242,952
227,Honda City VX,2016,Diesel,Honda,32311,6178
228,Mahindra Thar CRDe,2016,Diesel,Mahindra,18020,8690
229,Mitsubishi Pajero Sport,2015,Diesel,Mitsubishi,29204,17559
230,Audi A4 1.8,2009,Petrol,Audi,29204,8321
231,Mercedes Benz GLA,2015,Diesel,Mercedes,12427,23809
232,Land Rover Freelander,2015,Diesel,Land,18641,25000
233,Renault Kwid RXT,2017,Petrol,Renault,3107,4047
234,Tata Aria Pleasure,2014,Diesel,Tata,21748,4642
235,Mercedes Benz B,2014,Petrol,Mercedes,19263,16666
236,Datsun GO T,2016,Petrol,Datsun,4350,2916
237,Tata Indigo eCS,2016,Diesel,Tata,109007,3809
238,Tata Indigo eCS,2016,Diesel,Tata,108988,3809
239,Honda Jazz VX,2016,Petrol,Honda,25476,5357
240,Honda Amaze 1.2,2014,Petrol,Honda,20505,3702
241,Honda Amaze,2013,Diesel,Honda,28583,3392
242,Honda City,2012,Petrol,Honda,27962,4761
243,Honda City,2015,Diesel,Honda,24233,7142
244,Honda Amaze,2015,Petrol,Honda,13670,4107
245,Audi A4 1.8,2009,Petrol,Audi,29204,8321
246,Force Motors Force,2015,Diesel,Force,1988,6904
247,Mahindra Scorpio S4,2015,Diesel,Mahindra,18641,10178
248,Hyundai i20 Active,2015,Diesel,Hyundai,22991,6369
249,Mini Cooper S,2013,Petrol,Mini,8078,22513
250,Maruti Suzuki Ciaz,2017,Petrol,Maruti,8699,8321
251,Chevrolet Tavera Neo,2013,Diesel,Chevrolet,34175,4464
252,Honda Amaze,2013,Diesel,Honda,28583,3392
253,Hyundai Eon Sportz,2012,Petrol,Hyundai,18641,2119
254,Tata Sumo Gold,2013,Diesel,Tata,31069,3571
255,Maruti Suzuki Wagon,2003,Petrol,Maruti,27962,1071
256,Maruti Suzuki Esteem,2006,Petrol,Maruti,27962,1130
257,Maruti Suzuki Eeco,2015,Petrol,Maruti,5779,3035
258,Chevrolet Enjoy 1.4,2013,Diesel,Chevrolet,34175,2916
259,Hyundai i20 Asta,2012,Diesel,Hyundai,22494,3922
260,Ford Figo Diesel,2014,Diesel,Ford,31069,2321
261,Maruti Suzuki Eeco,2015,Petrol,Maruti,34175,2989
262,Maruti Suzuki Ertiga,2014,Petrol,Maruti,27962,6785
263,Maruti Suzuki Esteem,2007,Petrol,Maruti,31690,833
264,Maruti Suzuki Ritz,2014,Petrol,Maruti,11806,3571
265,Maruti Suzuki Dzire,2009,Petrol,Maruti,28583,2619
266,Maruti Suzuki Ritz,2013,Diesel,Maruti,20505,4761
267,Maruti Suzuki SX4,2010,Petrol,Maruti,22369,2976
268,Maruti Suzuki Wagon,2015,Petrol,Maruti,13670,3452
269,Mini Cooper S,2013,Petrol,Mini,8389,22513
270,Nissan Terrano XL,2015,Diesel,Nissan,37282,5952
271,Renault Duster 85,2013,Diesel,Renault,16777,5833
272,Renault Duster 85,2014,Diesel,Renault,36661,5833
273,Renault Duster 85,2015,Diesel,Renault,11806,6547
274,Maruti Suzuki Dzire,2013,Petrol,Maruti,18641,4523
275,Renault Kwid RXT,2018,Petrol,Renault,9321,3869
276,Maruti Suzuki Maruti,2003,Petrol,Maruti,35268,678
277,Renault Kwid 1.0,2018,Petrol,Renault,6214,4166
278,Renault Lodgy 85,2018,Diesel,Renault,12427,8214
279,Renault Scala RxL,2014,Diesel,Renault,30447,4166
280,Hyundai Grand i10,2014,Petrol,Hyundai,25476,4880
281,Maruti Suzuki Swift,2011,Petrol,Maruti,27962,2678
282,Chevrolet Beat LS,2010,Petrol,Chevrolet,26719,1428
283,Tata Indigo eCS,2016,Diesel,Tata,109007,3809
284,Hyundai Santro Xing,2000,Petrol,Hyundai,35076,702
285,Hyundai Fluidic Verna,2015,Diesel,Hyundai,23612,6428
287,Chevrolet Beat LS,2010,Petrol,Chevrolet,34797,952
288,Mahindra Quanto C8,2013,Diesel,Mahindra,22991,4047
289,Fiat Petra ELX,2008,Petrol,Fiat,40389,892
290,Chevrolet Beat LS,2015,Petrol,Chevrolet,20319,2619
291,Skoda Fabia 1.2L,2011,Diesel,Skoda,23736,1898
292,Ford EcoSport Titanium,2016,Diesel,Ford,18641,7130
293,Hyundai Accent GLX,2006,Petrol,Hyundai,34797,952
295,Maruti Suzuki Swift,2010,Diesel,Maruti,32311,0
296,Mahindra TUV300 T4,2016,Diesel,Mahindra,5592,8035
297,Mini Cooper S,2013,Petrol,Mini,8078,22513
298,Mini Cooper S,2013,Petrol,Mini,8078,22513
299,Tata Indica V2,2008,Petrol,Tata,6835,1785
300,Mini Cooper S,2013,Petrol,Mini,8078,22513
301,Tata Indigo CS,2009,Diesel,Tata,28583,863
302,Maruti Suzuki Swift,2019,Petrol,Maruti,45,7261
303,Mahindra Scorpio VLX,2004,Diesel,Mahindra,99419,2738
304,Tata Indica eV2,2017,Diesel,Tata,52195,0
305,Honda Accord,2009,Petrol,Honda,36387,2083
306,Mahindra Scorpio S4,2015,Diesel,Mahindra,18641,10178
307,Chevrolet Tavera Neo,2013,Diesel,Chevrolet,34175,4464
308,Ford EcoSport Titanium,2014,Diesel,Ford,35418,6190
309,Maruti Suzuki Ertiga,2015,Diesel,Maruti,31069,6249
310,Honda Amaze,2014,Petrol,Honda,22991,3571
311,Maruti Suzuki Dzire,2012,Petrol,Maruti,24855,3571
312,Honda City,2011,Petrol,Honda,34175,3392
313,Mahindra Scorpio 2.6,2007,Diesel,Mahindra,105633,2619
314,Maruti Suzuki Dzire,2014,Diesel,Maruti,34175,5059
315,Honda City,2015,Petrol,Honda,24233,7678
316,Honda Mobilio,2014,Petrol,Honda,27340,4761
317,Toyota Corolla Altis,2009,Petrol,Toyota,40389,2380
318,Honda City,2014,Petrol,Honda,24233,6964
319,Skoda Laura,2012,Diesel,Skoda,27340,4166
320,Renault Duster,2015,Diesel,Renault,30447,5357
321,Maruti Suzuki Ertiga,2018,Diesel,Maruti,5592,9523
322,Maruti Suzuki Dzire,2015,Diesel,Maruti,27962,5297
323,Mahindra XUV500,2014,Diesel,Mahindra,29204,7738
324,Hyundai Verna Fluidic,2012,Diesel,Hyundai,24855,5297
325,Maruti Suzuki Vitara,2016,Diesel,Maruti,18020,8214
326,Maruti Suzuki Wagon,2016,Petrol,Maruti,9321,4107
327,Mahindra Scorpio,2015,Diesel,Mahindra,27962,11249
328,Honda Amaze,2014,Petrol,Honda,21748,3273
329,Mahindra XUV500,2013,Diesel,Mahindra,49710,8214
330,Mahindra Scorpio,2013,Diesel,Mahindra,42253,6845
331,Skoda Laura,2013,Diesel,Skoda,31069,4464
332,Volkswagen Polo,2010,Diesel,Volkswagen,37282,2380
333,Hyundai Elite i20,2016,Petrol,Hyundai,5592,6547
334,Tata Manza Aura,2012,Diesel,Tata,44739,1547
335,Chevrolet Sail UVA,2013,Petrol,Chevrolet,37282,2500
336,Renault Duster 110,2012,Diesel,Renault,23612,5964
337,Hyundai Verna Fluidic,2013,Diesel,Hyundai,27962,4773
338,Audi A4 2.0,2012,Diesel,Audi,24855,16071
339,Hyundai Elantra SX,2013,Petrol,Hyundai,12427,7142
340,Mahindra Scorpio VLX,2013,Diesel,Mahindra,21748,7261
341,Mahindra KUV100 K8,2016,Diesel,Mahindra,12427,4761
342,Renault Scala RxL,2015,Diesel,Renault,15534,4464
343,Mahindra Quanto C8,2013,Diesel,Mahindra,12427,4464
344,Hyundai Grand i10,2014,Petrol,Hyundai,12427,4345
345,Hyundai i20 Active,2015,Petrol,Hyundai,11185,5952
346,Mahindra Xylo E4,2012,Diesel,Mahindra,21748,4761
347,Hyundai Grand i10,2017,Petrol,Hyundai,4238,6249
348,Hyundai i20,2014,Petrol,Hyundai,14292,5357
349,Hyundai Eon,2014,Petrol,Hyundai,8699,2083
350,Hyundai i10,2012,Petrol,Hyundai,23612,2916
351,Hyundai i20 Active,2015,Diesel,Hyundai,21748,6845
352,Datsun Redi GO,2017,Petrol,Datsun,13670,2916
353,Toyota Etios Liva,2011,Petrol,Toyota,25476,2857
354,Hyundai Accent,2010,Petrol,Hyundai,27962,1190
355,Hyundai Verna,2014,Diesel,Hyundai,27340,5833
356,Maruti Suzuki Swift,2013,Diesel,Maruti,27962,3869
357,Toyota Fortuner,2011,Diesel,Toyota,32311,12797
358,Hyundai i10 Sportz,2012,Petrol,Hyundai,21127,2738
359,Mahindra Bolero Power,2018,Diesel,Mahindra,1118,8321
361,Mahindra XUV500,2015,Diesel,Mahindra,9321,11904
362,Honda City 1.5,2010,Petrol,Honda,248548,2857
363,Chevrolet Spark LT,2009,Petrol,Chevrolet,27340,1309
364,Mahindra Jeep MM,2019,Diesel,Mahindra,37,4642
365,Renault Duster 110PS,2012,Diesel,Renault,21748,5964
366,Mahindra XUV500,2016,Diesel,Mahindra,44739,13452
367,Tata Indigo eCS,2014,Diesel,Tata,24855,2976
369,Mahindra Bolero SLE,2013,Diesel,Mahindra,49834,3928
370,Force Motors Force,2015,Diesel,Force,1988,6904
371,Skoda Rapid Elegance,2013,Diesel,Skoda,29826,4047
372,Tata Vista Quadrajet,2011,Diesel,Tata,55923,1428
373,Maruti Suzuki Alto,2015,Petrol,Maruti,7456,3154
374,Maruti Suzuki SX4,2012,Diesel,Maruti,28583,3154
375,Maruti Suzuki Zen,2003,Petrol,Maruti,43434,1011
376,Mahindra Jeep CL550,2019,Diesel,Mahindra,0,4511
377,Hyundai i10 Magna,2011,Petrol,Hyundai,27962,2083
378,Maruti Suzuki Alto,2015,Petrol,Maruti,3107,2607
379,Maruti Suzuki Swift,2016,Diesel,Maruti,103148,4166
380,Honda City ZX,2008,Petrol,Honda,26098,1773
381,Mahindra Jeep CL550,2018,Diesel,Mahindra,365,4583
382,Mahindra Jeep MM,2006,Diesel,Mahindra,76,5059
383,Chevrolet Beat Diesel,2017,Diesel,Chevrolet,38525,1785
384,Honda City 1.5,2010,Petrol,Honda,43496,2678
386,Hyundai Verna 1.4,2014,Petrol,Hyundai,22369,4464
387,Toyota Innova 2.5,2012,Diesel,Toyota,0,9166
388,Maruti Suzuki Alto,2018,Petrol,Maruti,14913,0
389,Maruti Suzuki Maruti,1995,Petrol,Maruti,34175,357
390,Toyota Etios,2011,Diesel,Toyota,22369,3273
391,Volkswagen Polo,2015,Diesel,Volkswagen,23612,3928
392,Maruti Suzuki Swift,2014,Diesel,Maruti,34175,3988
393,Hyundai Elite i20,2015,Diesel,Hyundai,12427,5357
394,Maruti Suzuki Swift,2012,Petrol,Maruti,24855,2678
396,Maruti Suzuki Versa,2004,Petrol,Maruti,31069,952
397,Tata Indigo LX,2016,Diesel,Tata,64623,1547
398,Volkswagen Vento Konekt,2011,Diesel,Volkswagen,40389,2916
399,Mercedes Benz C,2002,Petrol,Mercedes,25476,4750
400,Maruti Suzuki Ertiga,2013,Diesel,Maruti,55923,5357
402,Honda City,2000,Petrol,Honda,49710,773
403,Hyundai Santro Xing,2006,Petrol,Hyundai,28583,892
404,Maruti Suzuki Omni,2001,Petrol,Maruti,43496,833
405,Hyundai Sonata Transform,2017,Diesel,Hyundai,22661,2261
406,Hyundai Elite i20,2018,Petrol,Hyundai,4847,7142
407,Volkswagen Vento Konekt,2011,Diesel,Volkswagen,40389,2916
408,Maruti Suzuki Alto,2017,Petrol,Maruti,37282,2857
409,Maruti Suzuki Alto,2011,Petrol,Maruti,19884,1845
410,Honda Jazz S,2009,Petrol,Honda,15345,2023
411,Hyundai Grand i10,2017,Petrol,Hyundai,9408,5357
412,Maruti Suzuki Zen,2001,Petrol,Maruti,24855,476
413,Mahindra Scorpio W,2012,Diesel,Mahindra,40389,1964
415,Maruti Suzuki Alto,2014,Petrol,Maruti,13670,3214
416,Hyundai Grand i10,2016,Diesel,Hyundai,37226,3333
417,Mahindra XUV500 W8,2012,Diesel,Mahindra,62137,6666
418,Hyundai Creta 1.6,2016,Petrol,Hyundai,15534,11309
419,Hyundai i20 Magna,2013,Petrol,Hyundai,21748,3690
420,Renault Duster 85,2015,Diesel,Renault,40389,8511
421,Hyundai Grand i10,2014,Petrol,Hyundai,21748,4047
422,Honda Brio V,2012,Petrol,Honda,20505,2797
423,Mahindra TUV300 T4,2017,Diesel,Mahindra,42253,7261
424,Chevrolet Spark LS,2010,Petrol,Chevrolet,14292,1130
425,Mahindra TUV300 T8,2018,Diesel,Mahindra,2796,11904
426,Maruti Suzuki Swift,2015,Diesel,Maruti,80157,2619
427,Nissan X Trail,2019,Diesel,Nissan,186,14285
428,Maruti Suzuki Alto,2015,Petrol,Maruti,3107,2738
429,Ford Ikon 1.3,2001,Petrol,Ford,40389,535
430,Toyota Fortuner 3.0,2010,Diesel,Toyota,81400,11190
431,Tata Manza ELAN,2010,Petrol,Tata,69041,1851
434,Mercedes Benz A,2013,Petrol,Mercedes,8699,17857
435,Chevrolet Beat LS,2016,Diesel,Chevrolet,13670,2500
436,Ford EcoSport Trend,2013,Diesel,Ford,23612,5892
437,Tata Indigo LS,2016,Diesel,Tata,43496,1488
438,Hyundai i20 Magna,2010,Petrol,Hyundai,22369,2321
439,Volkswagen Vento Highline,2015,Diesel,Volkswagen,21127,6547
440,Renault Kwid RXT,2015,Petrol,Renault,26719,3214
442,Ford EcoSport Titanium,2014,Diesel,Ford,24855,5952
443,Honda Amaze 1.5,2016,Diesel,Honda,99419,2857
